faculty,phase,term,gender,race,grade,count
10,1a,Spring 2017,women,nonURM,B,6
10,1a,Spring 2017,women,nonURM,C,1
10,1a,Spring 2017,women,nonURM,F,2
10,1a,Spring 2017,women,nonURM,W,2
10,1b,Fall 2017,men,black,A,2
10,1b,Fall 2017,men,black,B,4
10,1b,Fall 2017,men,black,C,6
10,1b,Fall 2017,men,black,D,2
10,1b,Fall 2017,men,black,F,4
10,1b,Fall 2017,men,black,W,1
10,1b,Fall 2017,men,hispanic,A,2
10,1b,Fall 2017,men,nonURM,A,14
10,1b,Fall 2017,men,nonURM,B,10
10,1b,Fall 2017,men,nonURM,C,7
10,1b,Fall 2017,men,nonURM,D,4
10,1b,Fall 2017,men,nonURM,F,2
10,1b,Fall 2017,men,nonURM,W,1
10,1b,Fall 2017,women,black,B,1
10,1b,Fall 2017,women,black,C,1
10,1b,Fall 2017,women,nonURM,A,1
10,1b,Fall 2017,women,nonURM,B,2
10,1b,Fall 2017,women,nonURM,C,6
10,2a,Fall 2018,men,black,A,5
10,2a,Fall 2018,men,black,B,4
10,2a,Fall 2018,men,black,C,8
10,2a,Fall 2018,men,black,D,1
10,2a,Fall 2018,men,black,F,2
10,2a,Fall 2018,men,black,W,4
10,2a,Fall 2018,men,hispanic,A,2
10,2a,Fall 2018,men,hispanic,B,3
10,2a,Fall 2018,men,hispanic,F,1
10,2a,Fall 2018,men,hispanic,W,1
10,2a,Fall 2018,men,nonURM,A,20
10,2a,Fall 2018,men,nonURM,B,11
10,2a,Fall 2018,men,nonURM,C,4
10,2a,Fall 2018,men,nonURM,D,1
10,2a,Fall 2018,men,nonURM,W,1
10,2a,Fall 2018,women,black,B,1
10,2a,Fall 2018,women,black,C,4
10,2a,Fall 2018,women,black,D,1
10,2a,Fall 2018,women,black,F,1
10,2a,Fall 2018,women,hispanic,B,1
10,2a,Fall 2018,women,hispanic,D,1
10,2a,Fall 2018,women,hispanic,W,1
10,2a,Fall 2018,women,nonURM,A,8
10,2a,Fall 2018,women,nonURM,B,5
10,2a,Fall 2018,women,nonURM,C,2
10,2a,Fall 2018,women,nonURM,D,3
10,2a,Fall 2018,women,nonURM,W,1
10,3a,Fall 2019,men,black,A,7
10,3a,Fall 2019,men,black,B,13
10,3a,Fall 2019,men,black,C,8
10,3a,Fall 2019,men,black,D,6
10,3a,Fall 2019,men,black,F,7
